Framesize,Avg FPS,Avg Temperature (C)
176x144,52.44763077673454,70.29378368491646
1280x720,1.9874175438596489,70.32707368421053
640x480,14.187376648754272,71.25206806709004
320x240,44.44296229046605,71.85054761716798
160x120,51.3012117956338,71.0893985598354
240x240,43.2069786051978,71.7012480034189
1280x1024,2.2686,71.6834
1600x1200,1.2941514598540147,71.62380474452554
96x96,51.17121051544973,71.35643887780148
240x176,48.48729458622216,74.17653783743916
128x128,52.5867217706936,69.73358005207922
400x296,35.26233266651362,73.52855573410291
1024x768,3.3721892076502735,72.68305327868853
800x600,8.246429854872149,72.33554526606773
480x320,20.86647307165678,70.48403582838885
